Этап,Задача
ЭТАП 1. ПОДГОТОВКА И ОСНОВА,"Создать прототип сцены (поле, камера, UI)"
ЭТАП 1. ПОДГОТОВКА И ОСНОВА,Сделать механику строительства башни
ЭТАП 1. ПОДГОТОВКА И ОСНОВА,Добавить механику 'точности попаданий' и комбо
ЭТАП 2. ГЕЙМПЛЕЙ И ЧЕЛЛЕНДЖИ,"Реализовать сценарии уровней (ветер, инверсия, нестабильные блоки)"
ЭТАП 2. ГЕЙМПЛЕЙ И ЧЕЛЛЕНДЖИ,"Сделать механику перегрузки башни (сундуки, коровы и т.п.)"
ЭТАП 2. ГЕЙМПЛЕЙ И ЧЕЛЛЕНДЖИ,Добавить таймер и ограничения по времени
ЭТАП 3. ПРОГРЕССИЯ И НАГРАДЫ,Реализовать коллекцию блоков
ЭТАП 3. ПРОГРЕССИЯ И НАГРАДЫ,Сделать трофейную башню и её кастомизацию
ЭТАП 3. ПРОГРЕССИЯ И НАГРАДЫ,Добавить систему очков стиля и их использование
ЭТАП 4. МЕТАИГРА И ИВЕНТЫ,"Добавить ивенты: Башня недели, временные блоки"
ЭТАП 4. МЕТАИГРА И ИВЕНТЫ,Реализовать дневные/недельные задания
ЭТАП 5. UI и UX,Создать главное меню и навигацию
ЭТАП 5. UI и UX,Сделать экран выбора блоков
ЭТАП 5. UI и UX,Реализовать магазин декора и бонусов
ЭТАП 6. РЕКЛАМА И МОНЕТИЗАЦИЯ,"Интегрировать Rewarded Ads для бонусов, блоков и вторых шансов"
ЭТАП 6. РЕКЛАМА И МОНЕТИЗАЦИЯ,Добавить Interstitial Ads между уровнями
ЭТАП 6. РЕКЛАМА И МОНЕТИЗАЦИЯ,Настроить баланс показа рекламы
ЭТАП 7. ВИЗУАЛЫ И СТИЛИ,Выбрать визуальный стиль или стили
ЭТАП 7. ВИЗУАЛЫ И СТИЛИ,"Создать ассеты под стиль (блоки, фон, декор)"
ЭТАП 7. ВИЗУАЛЫ И СТИЛИ,Настроить анимации и визуальные эффекты
"ЭТАП 8. ТЕСТЫ, ПОЛИРОВКА, ПУБЛИКАЦИЯ",Провести UX/UI тестирование
"ЭТАП 8. ТЕСТЫ, ПОЛИРОВКА, ПУБЛИКАЦИЯ","Провести технический тест (нагрузка, фризы, падения)"
"ЭТАП 8. ТЕСТЫ, ПОЛИРОВКА, ПУБЛИКАЦИЯ",Полировка финального билда
"ЭТАП 8. ТЕСТЫ, ПОЛИРОВКА, ПУБЛИКАЦИЯ","Подготовка к публикации в Store (иконка, скриншоты, видео)"
